times;sens;TSL_mean;RSL_mean;Rgage;freq;length;cfakr;cfbkr;link;gage;dist;code;company
2021-05-21 00:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 00:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 00:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 00:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:10:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:40:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:55:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:10:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:25:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:55:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:40:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:10:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:55:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:10:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 15:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 15:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 15:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 15:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 16:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 16:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 16:40:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 16:55:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 17:10:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 17:25:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 17:40:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 17:55:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 18:10:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 18:25:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 18:40:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 18:55:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 19:10:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 19:25:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 19:40:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 19:55:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 20:10:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 20:25:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 20:40:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 20:55:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 21:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 21:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 21:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 21:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:25:00;"523 A-B";8;-38.4;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:40:00;"523 A-B";8;-43.8;60.8;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:55:00;"523 A-B";8;-43.3;62.4;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 23:10:00;"523 A-B";8;-40.7;18.4;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 23:25:00;"523 A-B";8;-40.2;3.2;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 23:40:00;"523 A-B";8;-39.5;2.4;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
